Scan Number,RAW File,Ion Injection Time (ms),Total Number of Peaks,Total Ion Current,Retention Time (s),Base Peak Intensity,Base Peak Mass,Multi Inject Info,Multiple Injection
1,Ref 1,50.000,74388,31989262.0,0.0028503431,1927269.0,391.2845896,IT=25;25 ,ii
4,Ref 1,28.579,57908,31528392.0,0.010773306,1808278.8,391.2832411,IT=14;14 ,ii
5,Ref 1,15.311,43476,35459704.0,0.014692026,2351231.5,391.2833226,IT=7.7;7.7 ,ii
6,Ref 1,13.303,37152,33112044.0,0.018783606,2414230.2,391.283369,IT=6.7;6.7 ,ii
7,Ref 1,15.481,39372,27029352.0,0.022912774,1565104.5,391.2834586,IT=7.7;7.7 ,ii
8,Ref 1,14.044,39188,31857964.0,0.026921007,2175080.2,391.2835619,IT=7;7 ,ii
9,Ref 1,17.465,42636,29449106.0,0.03081484,1879561.4,391.2834781,IT=8.7;8.7 ,ii
10,Ref 1,17.146,39564,27478132.0,0.034862659,1670513.2,391.2835107,IT=8.6;8.6 ,ii
11,Ref 1,16.572,42856,32974612.0,0.038912659,2120704.8,391.2834289,IT=8.3;8.3 ,ii
12,Ref 1,19.025,48840,34579764.0,0.042993841,2249860.2,391.2834789,IT=9.5;9.5 ,ii
13,Ref 1,14.438,40724,33399528.0,0.046812623,1981822.6,391.2835072,IT=7.2;7.2 ,ii
15,Ref 1,17.782,45392,32095592.0,0.052733442,2089346.6,391.2834689,IT=8.9;8.9 ,ii
16,Ref 1,15.276,41904,32769476.0,0.056747907,2258763.5,391.283504,IT=7.6;7.6 ,ii
17,Ref 1,20.980,50164,32497996.0,0.06087289,1952350.4,391.2834861,IT=10;10 ,ii
18,Ref 1,19.441,48568,35227976.0,0.064922859,2237015.5,391.2834586,IT=9.7;9.7 ,ii
19,Ref 1,25.172,56940,34335940.0,0.068920777,2051321.0,391.2834427,IT=13;13 ,ii
20,Ref 1,17.204,45736,31963740.0,0.072883357,1861960.9,391.2835468,IT=8.6;8.6 ,ii
22,Ref 1,24.804,51684,31463912.0,0.077051991,1899097.0,391.2834212,IT=12;12 ,ii
23,Ref 1,18.728,48444,35155520.0,0.081043606,2388131.0,391.283419,IT=9.4;9.4 ,ii
24,Ref 1,29.067,55576,29193400.0,0.085112327,1694485.2,391.2831985,IT=15;15 ,ii
