Scan Number,RAW File,Ion Injection Time (ms),Total Number of Peaks,Total Ion Current,Retention Time (s),Base Peak Intensity,Base Peak Mass,Multi Inject Info,Multiple Injection
1,UP 1,50.000,36424,4284189.0,0.00281704,306111.53,414.7160518,IT=25;25 ,ii
3,UP 1,25.698,48096,20076092.0,0.0088607563,1505832.0,391.2846647,IT=13;13 ,ii
4,UP 1,24.421,46144,19994836.0,0.012975356,1561475.1,391.2846427,IT=12;12 ,ii
5,UP 1,32.158,50812,18139558.0,0.017031488,1370283.5,391.2847929,IT=16;16 ,ii
6,UP 1,32.171,50048,17828630.0,0.021169092,1370376.6,391.2847768,IT=16;16 ,ii
7,UP 1,32.304,52956,18153700.0,0.025302356,1283364.5,391.2847604,IT=16;16 ,ii
8,UP 1,32.678,53024,16816164.0,0.029441938,1218674.1,391.2848946,IT=16;16 ,ii
9,UP 1,32.301,48948,16008077.0,0.033402242,1122354.1,391.2849479,IT=16;16 ,ii
10,UP 1,32.137,49372,17223264.0,0.037371072,1295646.8,391.2848766,IT=16;16 ,ii
11,UP 1,35.150,52652,15321575.0,0.041554341,1095111.6,391.2849377,IT=18;18 ,ii
12,UP 1,30.954,55436,18674064.0,0.045629224,1416185.0,391.2847785,IT=15;15 ,ii
13,UP 1,32.866,51780,17562490.0,0.049785508,1292018.2,391.2848661,IT=16;16 ,ii
14,UP 1,34.231,45692,14944028.0,0.053773023,1047557.8,391.2849951,IT=17;17 ,ii
15,UP 1,32.597,51536,17303774.0,0.057893822,1298187.6,391.2848367,IT=16;16 ,ii
16,UP 1,33.298,52664,17443622.0,0.062035391,1293894.4,391.2848136,IT=17;17 ,ii
17,UP 1,34.147,49904,15433289.0,0.066193741,1082566.6,391.2849364,IT=17;17 ,ii
18,UP 1,32.623,51240,17425278.0,0.07013749,1258281.5,391.2849134,IT=16;16 ,ii
19,UP 1,32.781,51672,17237564.0,0.074277072,1297548.5,391.2848284,IT=16;16 ,ii
20,UP 1,34.513,54716,17895132.0,0.078443672,1344729.5,391.2847536,IT=17;17 ,ii
21,UP 1,33.968,50824,17059404.0,0.082583238,1195116.9,391.2848504,IT=17;17 ,ii
22,UP 1,34.578,50172,16334876.0,0.086564391,1202334.2,391.2848941,IT=17;17 ,ii
23,UP 1,28.540,49616,18617944.0,0.090635273,1383906.2,391.2846319,IT=14;14 ,ii
24,UP 1,27.778,48864,19004890.0,0.094735206,1461340.0,391.2845971,IT=14;14 ,ii
25,UP 1,28.660,46220,18209382.0,0.098858123,1431887.6,391.2846433,IT=14;14 ,ii
26,UP 1,27.842,46200,18643316.0,0.10295387,1408889.9,391.2845216,IT=14;14 ,ii
27,UP 1,29.996,50380,17199682.0,0.10693516,1288607.2,391.2847365,IT=15;15 ,ii
28,UP 1,28.201,46752,18421630.0,0.11103096,1420957.2,391.2846039,IT=14;14 ,ii
29,UP 1,28.697,49352,18585220.0,0.11514962,1392735.5,391.2846311,IT=14;14 ,ii
30,UP 1,29.790,49336,18090948.0,0.11927669,1367895.5,391.2846865,IT=15;15 ,ii
31,UP 1,28.090,47372,19004904.0,0.12319962,1420138.1,391.2845627,IT=14;14 ,ii
32,UP 1,30.810,51100,18691776.0,0.127358,1373430.2,391.2845725,IT=15;15 ,ii
33,UP 1,30.130,52800,19319746.0,0.13146827,1338975.9,391.2844915,IT=15;15 ,ii
34,UP 1,28.269,49628,20135632.0,0.13555581,1531720.1,391.2844027,IT=14;14 ,ii
35,UP 1,32.910,51428,16196663.0,0.13957661,1140846.0,391.2845819,IT=16;16 ,ii
36,UP 1,30.757,49460,18199704.0,0.14367866,1354965.6,391.2845823,IT=15;15 ,ii
37,UP 1,28.832,51236,19723490.0,0.14777444,1447094.1,391.2843878,IT=14;14 ,ii
38,UP 1,29.324,56776,20291176.0,0.15189527,1526278.2,391.2845262,IT=15;15 ,ii
39,UP 1,29.863,50548,18557810.0,0.15585766,1407742.5,391.2845902,IT=15;15 ,ii
40,UP 1,30.342,52012,18414122.0,0.16000356,1307906.6,391.2846197,IT=15;15 ,ii
41,UP 1,30.028,51056,18455174.0,0.16412856,1410090.2,391.2845934,IT=15;15 ,ii
42,UP 1,29.927,51136,18757682.0,0.16825133,1405565.2,391.284539,IT=15;15 ,ii
43,UP 1,31.677,48988,17644976.0,0.17240339,1350233.0,391.2845907,IT=16;16 ,ii
44,UP 1,25.561,46184,19096476.0,0.17640554,1474994.6,391.28431,IT=13;13 ,ii
45,UP 1,24.005,45860,19824354.0,0.18048049,1552267.6,391.2841828,IT=12;12 ,ii
46,UP 1,24.244,44736,19159090.0,0.18457002,1454521.5,391.2842826,IT=12;12 ,ii
47,UP 1,25.433,46360,19042460.0,0.18867411,1444647.1,391.2842871,IT=13;13 ,ii
48,UP 1,25.508,52008,20110266.0,0.19260116,1489793.0,391.2842953,IT=13;13 ,ii
49,UP 1,26.520,45616,18791352.0,0.19671791,1444014.0,391.2843406,IT=13;13 ,ii
50,UP 1,26.160,43948,18986420.0,0.20081156,1487422.2,391.2842971,IT=13;13 ,ii
51,UP 1,27.044,49500,19376582.0,0.20491782,1414648.5,391.2843578,IT=14;14 ,ii
52,UP 1,26.080,47672,19544676.0,0.20883865,1477142.8,391.2842572,IT=13;13 ,ii
53,UP 1,26.558,47132,19055176.0,0.21294691,1416540.9,391.2843741,IT=13;13 ,ii
54,UP 1,24.731,43388,19213778.0,0.21701352,1481677.1,391.2842713,IT=12;12 ,ii
55,UP 1,25.543,49412,19809822.0,0.22111982,1455576.9,391.284312,IT=13;13 ,ii
56,UP 1,25.548,49368,19885934.0,0.22504262,1481783.8,391.2843581,IT=13;13 ,ii
57,UP 1,24.003,46028,19429998.0,0.22911352,1408008.6,371.1013576,IT=12;12 ,ii
58,UP 1,25.629,47512,20030274.0,0.23323846,1498924.9,391.284291,IT=13;13 ,ii
59,UP 1,26.828,47888,19031012.0,0.23735096,1369666.4,391.2843499,IT=13;13 ,ii
60,UP 1,26.245,45692,19653304.0,0.24128419,1465851.0,391.2842168,IT=13;13 ,ii
61,UP 1,25.766,47340,19625006.0,0.24537801,1492015.1,391.2843454,IT=13;13 ,ii
62,UP 1,24.969,44376,18880346.0,0.24946334,1463467.4,391.2843454,IT=12;12 ,ii
63,UP 1,24.648,46500,19727366.0,0.25354452,1445685.2,391.2842981,IT=12;12 ,ii
64,UP 1,24.742,46320,19282402.0,0.25763619,1448217.5,391.2842787,IT=12;12 ,ii
65,UP 1,23.526,44656,19509546.0,0.26153622,1466144.5,391.2842049,IT=12;12 ,ii
66,UP 1,22.975,44128,19810912.0,0.26561326,1483528.4,391.2842066,IT=11;11 ,ii
67,UP 1,23.253,42628,19251648.0,0.26969441,1497887.9,391.2841601,IT=12;12 ,ii
68,UP 1,23.913,45272,19563630.0,0.27378607,1481457.5,391.2841647,IT=12;12 ,ii
69,UP 1,22.051,44952,20791166.0,0.27766947,1608095.6,391.2841111,IT=11;11 ,ii
70,UP 1,23.018,45736,19825926.0,0.28176939,1530227.6,391.2842275,IT=12;12 ,ii
71,UP 1,24.513,43396,19567686.0,0.28587139,1465497.0,391.2842465,IT=12;12 ,ii
72,UP 1,23.787,44364,19906606.0,0.28994849,1582330.6,391.2842927,IT=12;12 ,ii
73,UP 1,23.040,42508,19339138.0,0.29385474,1474351.6,391.2842492,IT=12;12 ,ii
74,UP 1,26.341,46700,19325174.0,0.29799012,1449132.1,391.2843201,IT=13;13 ,ii
75,UP 1,25.362,48392,19871566.0,0.30207129,1455246.4,391.2842543,IT=13;13 ,ii
76,UP 1,24.407,45032,18942898.0,0.30614422,1470305.2,391.2844441,IT=12;12 ,ii
77,UP 1,24.904,46500,19419022.0,0.31007131,1482335.5,391.2843026,IT=12;12 ,ii
78,UP 1,22.760,45392,20158110.0,0.31412961,1521019.8,391.284287,IT=11;11 ,ii
79,UP 1,23.942,43536,19676908.0,0.3182212,1480229.6,371.1012814,IT=12;12 ,ii
80,UP 1,24.874,46856,19288600.0,0.32231911,1488839.2,391.2844345,IT=12;12 ,ii
81,UP 1,22.702,46280,20363236.0,0.32620036,1508947.1,391.2841134,IT=11;11 ,ii
82,UP 1,25.268,49492,20268360.0,0.33032534,1483691.2,391.2842907,IT=13;13 ,ii
83,UP 1,24.137,48480,20270982.0,0.33440446,1457634.2,391.2842753,IT=12;12 ,ii
84,UP 1,23.563,46128,20494032.0,0.33847729,1537310.1,391.2841968,IT=12;12 ,ii
85,UP 1,22.871,43648,20004816.0,0.34255642,1498310.0,391.284121,IT=11;11 ,ii
86,UP 1,23.191,47300,20339456.0,0.34663771,1552877.0,391.2841777,IT=12;12 ,ii
87,UP 1,22.511,43372,20154032.0,0.35070642,1587646.9,391.284171,IT=11;11 ,ii
88,UP 1,22.184,43256,20180300.0,0.35477934,1479085.4,391.2841728,IT=11;11 ,ii
89,UP 1,24.350,48988,19921084.0,0.35888342,1466716.6,391.2842451,IT=12;12 ,ii
90,UP 1,21.909,44992,20957020.0,0.36276054,1609337.4,391.2840676,IT=11;11 ,ii
91,UP 1,22.875,41924,19553204.0,0.36685632,1455659.4,371.1011742,IT=11;11 ,ii
92,UP 1,23.101,42220,19145290.0,0.37093537,1444197.4,391.2842527,IT=12;12 ,ii
93,UP 1,21.737,47428,21040730.0,0.37499374,1558282.6,391.2841036,IT=11;11 ,ii
94,UP 1,22.529,43424,20213318.0,0.37891461,1548192.0,391.2841543,IT=11;11 ,ii
95,UP 1,23.288,42884,18763434.0,0.38300831,1358448.6,391.2842614,IT=12;12 ,ii
96,UP 1,22.655,46140,20569110.0,0.38707902,1602001.4,391.2841646,IT=11;11 ,ii
97,UP 1,21.410,40192,19796982.0,0.39113741,1476167.0,391.2840849,IT=11;11 ,ii
98,UP 1,23.014,45292,20060904.0,0.39507077,1472559.0,391.284181,IT=12;12 ,ii
99,UP 1,21.707,40924,20039254.0,0.39912902,1558414.4,391.2841702,IT=11;11 ,ii
100,UP 1,21.753,46796,20713534.0,0.40320392,1485200.2,371.1011843,IT=11;11 ,ii
101,UP 1,21.800,41524,20016630.0,0.40728104,1564102.5,391.2841105,IT=11;11 ,ii
102,UP 1,21.089,45216,20867068.0,0.41117693,1482847.0,391.2839987,IT=11;11 ,ii
103,UP 1,21.427,41180,19714072.0,0.415256,1443593.1,391.2841406,IT=11;11 ,ii
104,UP 1,22.028,41408,19678154.0,0.41933715,1601465.1,391.2842148,IT=11;11 ,ii
105,UP 1,20.438,41516,20490050.0,0.42338919,1624762.5,391.2839217,IT=10;10 ,ii
106,UP 1,21.273,41832,19995674.0,0.42729961,1527945.6,391.2840704,IT=11;11 ,ii
107,UP 1,21.071,44672,20197458.0,0.43136841,1413634.5,391.2841695,IT=11;11 ,ii
108,UP 1,22.064,44776,20106822.0,0.43545789,1557958.2,391.28411,IT=11;11 ,ii
109,UP 1,19.981,40704,20276254.0,0.43949126,1540284.4,391.2841112,IT=10;10 ,ii
110,UP 1,20.316,43476,20600656.0,0.44339326,1573610.9,391.2841112,IT=10;10 ,ii
111,UP 1,20.182,39000,19178464.0,0.44746,1420809.6,391.2840491,IT=10;10 ,ii
112,UP 1,21.009,43616,20388796.0,0.45153904,1532923.9,391.2839529,IT=11;11 ,ii
