Scan Number,RAW File,Total Ion Current,Total Number of Peaks,Number of Channels,Frequency,Collision Energy,Retention Time (s),Mass Ranges,Precursor Intensity,Scan Description,AGC,Micro Scan Count,Ion Injection Time (ms),Elapsed Scan Time (sec),Activation Type,Mass Analyzer Type,Detector Type,Base Peak Mass,Average Scan by Inst,Orbitrap Resolution,API Process Delay,Dependency Type,Multi Inject Info,Base Peak Intensity,Master Scan Number,Monoisotopic M/Z,Charge State,HCD Energy,HCD Energy eV,MS2 Isolation Width,Access ID,Conversion Parameter I,Conversion Parameter A,Conversion Parameter B,Conversion Parameter C,Conversion Parameter D,Conversion Parameter E,Temperature Comp. (ppm),RF Comp. (ppm),Space Charge Comp. (ppm),Resolution Comp. (ppm),Number of LM Found,LM Correction (ppm),RawOvFtT,Injection t0,Reagent Ion Injection Time (ms),FAIMS Voltage On,FAIMS CV
2,UP 1,30575.805,1048,0,0.0,27.0,0.0070925048,100.0-865.0,nan,FTMS + p NSI d Full ms2 414.7161@hcd27.00 [100.0000-865.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,110.0713036,N/A,N/A,N/A,N/A,IT=80 ,13415.186,N/A,414.7161,2,27.00,20.155,1.60,N/A,N/A,N/A,211753729.3130,76394365.1050,N/A,N/A,-2.62,-0.08,-0.01,-0.01,0,N/A,10358.8,0.000,N/A,N/A,N/A
126,UP 1,44887.672,1212,0,0.0,27.0,0.50810992,100.0-865.0,nan,FTMS + p NSI d Full ms2 414.7141@hcd27.00 [100.0000-865.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,110.0716951,N/A,N/A,N/A,N/A,IT=80 ,17531.025,N/A,414.7141,2,27.00,20.155,1.60,N/A,N/A,N/A,211753728.2914,76394364.3585,N/A,N/A,-2.62,-0.08,-0.01,-0.01,0,N/A,14022.0,0.000,N/A,N/A,N/A
242,UP 1,23425.203,1084,0,0.0,27.0,0.97080681,100.0-855.0,nan,FTMS + p NSI d Full ms2 410.7349@hcd27.00 [100.0000-855.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,305.6940044,N/A,N/A,N/A,N/A,IT=80 ,3608.2617,N/A,0.0000,2,27.00,19.962,1.60,N/A,N/A,N/A,211753729.8238,76394365.4592,N/A,N/A,-2.62,-0.08,-0.01,-0.01,0,N/A,9067.3,0.000,N/A,N/A,N/A
252,UP 1,47162.008,1264,0,0.0,27.0,1.0090212,100.0-865.0,nan,FTMS + p NSI d Full ms2 414.7137@hcd27.00 [100.0000-865.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,110.0714373,N/A,N/A,N/A,N/A,IT=80 ,15887.55,N/A,414.7137,2,27.00,20.155,1.60,N/A,N/A,N/A,211753728.9173,76394364.8166,N/A,N/A,-2.62,-0.08,-0.01,-0.01,0,N/A,12317.4,0.000,N/A,N/A,N/A
378,UP 1,42223.07,1160,0,0.0,27.0,1.5094386,100.0-865.0,nan,FTMS + p NSI d Full ms2 414.7137@hcd27.00 [100.0000-865.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,110.0714025,N/A,N/A,N/A,N/A,IT=80 ,16160.882,N/A,414.7137,2,27.00,20.155,1.60,N/A,N/A,N/A,211753729.5622,76394365.2816,N/A,N/A,-2.62,-0.08,-0.01,-0.01,0,N/A,10005.2,0.000,N/A,N/A,N/A
400,UP 1,31706.578,1276,0,0.0,27.0,1.595586,100.0-855.0,nan,FTMS + p NSI d Full ms2 410.7350@hcd27.00 [100.0000-855.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,305.7334565,N/A,N/A,N/A,N/A,IT=80 ,3799.6067,N/A,0.0000,2,27.00,19.962,1.60,N/A,N/A,N/A,211753729.4921,76394365.2251,N/A,N/A,-2.62,-0.08,-0.01,-0.01,0,N/A,10256.6,0.000,N/A,N/A,N/A
505,UP 1,53723.594,1312,0,0.0,27.0,2.0108082,100.0-865.0,nan,FTMS + p NSI d Full ms2 414.7138@hcd27.00 [100.0000-865.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,110.0715727,N/A,N/A,N/A,N/A,IT=80 ,22306.375,N/A,414.7138,2,27.00,20.155,1.60,N/A,N/A,N/A,211753728.2822,76394364.3483,N/A,N/A,-2.62,-0.08,-0.01,-0.01,0,N/A,15144.8,0.000,N/A,N/A,N/A
532,UP 1,14936.156,896,0,0.0,27.0,2.1167346,100.0-855.0,nan,FTMS + p NSI d Full ms2 410.7352@hcd27.00 [100.0000-855.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,305.7092399,N/A,N/A,N/A,N/A,IT=80 ,4200.7769,N/A,0.0000,2,27.00,19.962,1.60,N/A,N/A,N/A,211753730.2011,76394365.7340,N/A,N/A,-2.62,-0.08,-0.01,-0.01,0,N/A,8264.6,0.000,N/A,N/A,N/A
632,UP 1,42557.961,1120,0,0.0,27.0,2.511709,100.0-865.0,nan,FTMS + p NSI d Full ms2 414.7137@hcd27.00 [100.0000-865.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,110.0715334,N/A,N/A,N/A,N/A,IT=80 ,15869.459,N/A,414.7137,2,27.00,20.155,1.60,N/A,N/A,N/A,211753728.6043,76394364.5893,N/A,N/A,-2.62,-0.08,-0.01,-0.01,0,N/A,13990.2,0.000,N/A,N/A,N/A
660,UP 1,19044.133,988,0,0.0,27.0,2.6193313,100.0-855.0,nan,FTMS + p NSI d Full ms2 410.7349@hcd27.00 [100.0000-855.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,305.6902319,N/A,N/A,N/A,N/A,IT=80 ,3507.6609,N/A,0.0000,2,27.00,19.962,1.60,N/A,N/A,N/A,211753729.5705,76394365.2916,N/A,N/A,-2.62,-0.08,-0.01,-0.01,0,N/A,10525.5,0.000,N/A,N/A,N/A
760,UP 1,55939.406,1248,0,0.0,27.0,3.0132619,100.0-865.0,nan,FTMS + p NSI d Full ms2 414.7137@hcd27.00 [100.0000-865.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,110.0716135,N/A,N/A,N/A,N/A,IT=80 ,20122.029,N/A,414.7136,2,27.00,20.155,1.60,N/A,N/A,N/A,211753728.8243,76394364.7415,N/A,N/A,-2.62,-0.08,-0.01,-0.01,0,N/A,13700.7,0.000,N/A,N/A,N/A
788,UP 1,18046.664,988,0,0.0,27.0,3.120557,100.0-855.0,nan,FTMS + p NSI d Full ms2 410.7349@hcd27.00 [100.0000-855.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,305.6998909,N/A,N/A,N/A,N/A,IT=80 ,2741.8655,N/A,0.0000,2,27.00,19.962,1.60,N/A,N/A,N/A,211753730.3991,76394365.8887,N/A,N/A,-2.62,-0.08,-0.01,-0.01,0,N/A,8054.2,0.000,N/A,N/A,N/A
888,UP 1,51673.148,1324,0,0.0,27.0,3.5141794,100.0-865.0,nan,FTMS + p NSI d Full ms2 414.7137@hcd27.00 [100.0000-865.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,110.0716739,N/A,N/A,N/A,N/A,IT=80 ,17660.205,N/A,414.7137,2,27.00,20.155,1.60,N/A,N/A,N/A,211753729.1205,76394364.9628,N/A,N/A,-2.62,-0.08,-0.01,-0.01,0,N/A,12638.7,0.000,N/A,N/A,N/A
917,UP 1,20286.676,1036,0,0.0,27.0,3.6253474,100.0-855.0,nan,FTMS + p NSI d Full ms2 410.7350@hcd27.00 [100.0000-855.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,305.7214638,N/A,N/A,N/A,N/A,IT=80 ,3205.6975,N/A,410.7351,2,27.00,19.962,1.60,N/A,N/A,N/A,211753730.8813,76394366.2256,N/A,N/A,-2.62,-0.08,0.00,-0.01,0,N/A,6325.1,0.000,N/A,N/A,N/A
1016,UP 1,49128.531,1220,0,0.0,27.0,4.0154136,100.0-865.0,nan,FTMS + p NSI d Full ms2 414.7137@hcd27.00 [100.0000-865.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,110.0715309,N/A,N/A,N/A,N/A,IT=80 ,19527.215,N/A,414.7137,2,27.00,20.155,1.60,N/A,N/A,N/A,211753729.2454,76394365.0494,N/A,N/A,-2.62,-0.08,-0.01,-0.01,0,N/A,12381.8,0.000,N/A,N/A,N/A
1045,UP 1,21488.586,1040,0,0.0,27.0,4.1268962,100.0-855.0,nan,FTMS + p NSI d Full ms2 410.7351@hcd27.00 [100.0000-855.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,305.7035145,N/A,N/A,N/A,N/A,IT=80 ,4839.9409,N/A,410.7351,2,27.00,19.962,1.60,N/A,N/A,N/A,211753730.6300,76394366.0448,N/A,N/A,-2.62,-0.08,0.00,-0.01,0,N/A,7417.2,0.000,N/A,N/A,N/A
1145,UP 1,53697.328,1284,0,0.0,27.0,4.5195435,100.0-865.0,nan,FTMS + p NSI d Full ms2 414.7137@hcd27.00 [100.0000-865.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,110.0713789,N/A,N/A,N/A,N/A,IT=80 ,19240.643,N/A,414.7137,2,27.00,20.155,1.60,N/A,N/A,N/A,211753728.8179,76394364.7496,N/A,N/A,-2.62,-0.08,-0.01,-0.01,0,N/A,13914.7,0.000,N/A,N/A,N/A
1174,UP 1,23880.273,1088,0,0.0,27.0,4.6306136,100.0-855.0,nan,FTMS + p NSI d Full ms2 410.7349@hcd27.00 [100.0000-855.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,305.727717,N/A,N/A,N/A,N/A,IT=80 ,3760.0354,N/A,410.7349,2,27.00,19.962,1.60,N/A,N/A,N/A,211753730.5485,76394365.9807,N/A,N/A,-2.62,-0.08,-0.01,-0.01,0,N/A,7709.5,0.000,N/A,N/A,N/A
1274,UP 1,48983.738,1172,0,0.0,27.0,5.0230048,100.0-865.0,nan,FTMS + p NSI d Full ms2 414.7137@hcd27.00 [100.0000-865.0000],On,1,80.000,N/A,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,110.0714709,N/A,N/A,N/A,N/A,IT=80 ,19588.975,N/A,414.7136,2,27.00,20.155,1.60,N/A,N/A,N/A,211753730.2515,76394365.7765,N/A,N/A,-2.62,-0.08,-0.01,-0.01,0,N/A,9313.2,0.000,N/A,N/A,N/A
