Scan Number,RAW File,Ion Injection Time (ms),Total Number of Peaks,Total Ion Current,Retention Time (min),Base Peak Intensity,Base Peak Mass,Multi Inject Info,Multiple Injection
1,UP 2,50.000,53864,8314969.5,0.0028163247,536455.81,414.7161147,IT=25;25 ,ii
3,UP 2,17.900,43336,24534036.0,0.008730989,1549673.5,391.2844862,IT=9;9 ,ii
4,UP 2,18.231,46924,24688694.0,0.012876742,1519622.9,391.2845391,IT=9.1;9.1 ,ii
5,UP 2,22.203,48332,24044988.0,0.016993425,1599474.5,391.2845639,IT=11;11 ,ii
7,UP 2,20.274,45568,23807660.0,0.021087107,1516592.6,391.2844152,IT=10;10 ,ii
8,UP 2,22.093,50844,24858016.0,0.025028675,1558168.4,391.2843618,IT=11;11 ,ii
9,UP 2,24.528,52772,24010954.0,0.029149609,1462455.5,391.2846557,IT=12;12 ,ii
11,UP 2,19.304,44956,24845652.0,0.033395276,1632248.4,391.2843413,IT=9.7;9.7 ,ii
12,UP 2,22.716,52000,24909642.0,0.03751824,1574495.2,391.2844547,IT=11;11 ,ii
13,UP 2,20.895,48192,24289032.0,0.041405659,1519832.2,391.2844679,IT=10;10 ,ii
14,UP 2,21.795,46960,24262598.0,0.045497375,1615916.2,391.2844038,IT=11;11 ,ii
15,UP 2,24.851,56516,25227858.0,0.049622291,1567143.9,391.2845451,IT=12;12 ,ii
16,UP 2,26.034,52048,22869568.0,0.053732758,1373284.2,391.284576,IT=13;13 ,ii
17,UP 2,24.817,52444,24294056.0,0.057645139,1509599.2,391.2845394,IT=12;12 ,ii
18,UP 2,24.811,55032,25167310.0,0.06174309,1514981.9,371.101452,IT=12;12 ,ii
19,UP 2,27.023,56272,25380726.0,0.065870108,1572126.6,391.2845153,IT=14;14 ,ii
20,UP 2,26.579,55104,24238272.0,0.069965992,1481143.6,391.2846653,IT=13;13 ,ii
21,UP 2,25.682,53464,24496022.0,0.073890874,1543385.1,391.2845462,IT=13;13 ,ii
22,UP 2,27.365,60856,24376730.0,0.078022092,1535989.2,391.2845832,IT=14;14 ,ii
23,UP 2,25.688,52416,23727596.0,0.082103289,1463657.4,391.2846263,IT=13;13 ,ii
24,UP 2,28.300,60328,23986640.0,0.086253275,1438434.6,391.2846985,IT=14;14 ,ii
25,UP 2,22.927,53592,24933064.0,0.090197008,1503869.6,371.1014469,IT=11;11 ,ii
26,UP 2,24.221,52596,24947860.0,0.094301158,1553725.2,391.2843871,IT=12;12 ,ii
27,UP 2,25.552,55572,24721406.0,0.098415706,1535290.4,371.1013479,IT=13;13 ,ii
28,UP 2,24.403,54372,24753578.0,0.10249279,1495286.0,391.2843176,IT=12;12 ,ii
29,UP 2,24.620,55052,25291880.0,0.10658858,1602807.1,391.2842982,IT=12;12 ,ii
30,UP 2,24.990,54804,25096276.0,0.11051771,1546943.9,391.2843583,IT=12;12 ,ii
31,UP 2,24.911,53716,24833636.0,0.11461977,1519238.8,391.2844851,IT=12;12 ,ii
32,UP 2,22.344,52100,25424100.0,0.11866141,1584440.5,391.2842881,IT=11;11 ,ii
33,UP 2,27.934,59368,25714380.0,0.12283224,1588472.1,391.2844455,IT=14;14 ,ii
34,UP 2,24.025,51684,25596720.0,0.12671551,1607561.0,391.2844086,IT=12;12 ,ii
35,UP 2,26.903,54752,24135668.0,0.13085301,1536146.9,391.284478,IT=13;13 ,ii
36,UP 2,24.817,53948,24470186.0,0.13493002,1533466.0,391.2843739,IT=12;12 ,ii
37,UP 2,27.432,57064,24362126.0,0.13906547,1561836.8,391.2844453,IT=14;14 ,ii
38,UP 2,26.147,57128,24426986.0,0.14299042,1472510.0,391.2844584,IT=13;13 ,ii
39,UP 2,26.945,55020,24811108.0,0.14710291,1536317.1,391.2844279,IT=13;13 ,ii
40,UP 2,27.908,56312,24812236.0,0.15122161,1537534.9,371.1014329,IT=14;14 ,ii
41,UP 2,25.741,53968,24907350.0,0.15529871,1576013.4,371.1013475,IT=13;13 ,ii
42,UP 2,27.707,56720,24744000.0,0.15926322,1550002.2,371.1013791,IT=14;14 ,ii
43,UP 2,32.497,57628,23778220.0,0.16345491,1457889.4,391.2844871,IT=16;16 ,ii
