Scan Number,RAW File,Ion Injection Time (ms),Total Number of Peaks,Total Ion Current,Retention Time (s),Base Peak Intensity,Base Peak Mass,Multi Inject Info,Multiple Injection
1,MS2_MS1_orbitrap,0.010,5216,4838253568.0,100.00259605201667,652468480.0,892.4443969726562,                                ,N/A
5,MS2_MS1_orbitrap,0.106,18224,6716740096.0,100.01330638295,919135616.0,892.4447631835938,                                ,N/A
7,MS2_MS1_orbitrap,0.036,10868,8293399552.0,100.01974960135,1131957376.0,892.4447021484375,                                ,N/A
9,MS2_MS1_orbitrap,0.289,21516,2303599872.0,100.02850730641667,295673440.0,669.5852661132812,                                ,N/A
11,MS2_MS1_orbitrap,0.093,10560,3053528064.0,100.03495319201667,406720640.0,892.4447021484375,                                ,N/A
14,MS2_MS1_orbitrap,0.311,21292,2746061824.0,100.04604001015,360017728.0,892.44482421875,                                ,N/A
15,MS2_MS1_orbitrap,0.030,11376,10942632960.0,100.05220635415,1476886656.0,892.444091796875,                                ,N/A
18,MS2_MS1_orbitrap,0.109,13224,3601719296.0,100.06097286801668,474781184.0,669.5850219726562,                                ,N/A
21,MS2_MS1_orbitrap,0.104,16048,5830299136.0,100.06921445628333,855594880.0,892.4443359375,                                ,N/A
23,MS2_MS1_orbitrap,0.027,7292,5186687488.0,100.07564318615,660030208.0,669.5849609375,                                ,N/A
25,MS2_MS1_orbitrap,0.009,6824,15491252224.0,100.08440671575,2431549696.0,892.4449462890625,                                ,N/A
26,MS2_MS1_orbitrap,0.011,7052,10560862208.0,100.09059828481666,1390511360.0,892.4445190429688,                                ,N/A
27,MS2_MS1_orbitrap,0.019,10488,16986228736.0,100.09663140108334,2570035200.0,892.44482421875,                                ,N/A
28,MS2_MS1_orbitrap,0.134,16176,4900678144.0,100.10267928455,743020800.0,892.4443969726562,                                ,N/A
30,MS2_MS1_orbitrap,0.012,5740,5773315072.0,100.10910588028334,835497024.0,892.4446411132812,                                ,N/A
31,MS2_MS1_orbitrap,0.011,8064,16122784768.0,100.11527627014999,2419783680.0,892.4446411132812,                                ,N/A
32,MS2_MS1_orbitrap,0.035,7672,4340265472.0,100.12137438481666,566731264.0,892.4443969726562,                                ,N/A
34,MS2_MS1_orbitrap,0.010,4756,6616184832.0,100.12781544615,918122624.0,892.44482421875,                                ,N/A
35,MS2_MS1_orbitrap,0.012,9380,20056573952.0,100.13393804481666,3336886016.0,892.4445190429688,                                ,N/A
36,MS2_MS1_orbitrap,0.046,13448,12383939584.0,100.13997111281667,1978776704.0,892.4446411132812,                                ,N/A
