Scan Number,RAW File,Total Ion Current,Total Number of Peaks,thermo_Number of Channels,Sampling Frequency,Collision Energy,Scan Start Time (min),Scan Window m/z Range,Selected Ion Intensity,Filter String,Scan Mode,thermo_AGC,thermo_Micro Scan Count,Ion Injection Time (ms),thermo_Elapsed Scan Time (sec),Dissociation Method,Mass Analyzer Type,Detector Type,Base Peak m/z,thermo_Average Scan by Inst,thermo_Orbitrap Resolution,thermo_API Process Delay,thermo_Dependency Type,thermo_Multi Inject Info,Base Peak Intensity,thermo_Master Scan Number,Experimental Precursor Monoisotopic m/z,Charge State,Normalized Collision Energy (%),Collision Energy (eV),Isolation Window Width (m/z),thermo_Access ID,thermo_Conversion Parameter I,thermo_Conversion Parameter A,thermo_Conversion Parameter B,thermo_Conversion Parameter C,thermo_Conversion Parameter D,thermo_Conversion Parameter E,thermo_Temperature Comp. (ppm),thermo_RF Comp. (ppm),thermo_Space Charge Comp. (ppm),thermo_Resolution Comp. (ppm),thermo_Number of LM Found,thermo_LM Correction (ppm),thermo_RawOvFtT,thermo_Injection t0,thermo_Reagent Ion Injection Time (ms),thermo_FAIMS Voltage On,FAIMS Compensation Voltage
2,MS2_MS1_orbitrap,560223.1875,4988,0,0.0,28.0,100.00295563788333,120.0-2000.0,N/A,                ,FTMS + c NSI d Full ms2 1005.1662@hcd28.00 [120.0000-2000.0000],Predicted   ,1,118.493,0.362,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,143.11798095703125,No,50000,-1.000,1,                                ,28618.60546875,28095,1005.1662,3,28.00                    ,45.75                    ,1.60,0,0.000000,0.000000,211804471.455810,-94283661.533592,0.000000,0.000000,-1.40,0.00,-0.04,-0.11,0,0.00,76166.7,0.000,0.000,No,0.000
3,MS2_MS1_orbitrap,1484462.125,7128,0,0.0,30.0,100.00742656668334,120.0-2000.0,N/A,                ,FTMS + c NSI d Full ms2 679.0715@hcd30.00 [120.0000-2000.0000],Predicted   ,1,90.344,0.209,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,860.3389892578125,No,50000,-1.000,1,                                ,50717.54296875,28095,679.0715,4,30.00                    ,32.01                    ,1.60,0,0.000000,0.000000,211804471.455810,-94283661.533592,0.000000,0.000000,-1.40,0.00,-0.04,-0.11,0,0.00,147164.0,-0.020,0.000,No,0.000
4,MS2_MS1_orbitrap,582696.0,4348,0,0.0,30.0,100.00943933014999,120.0-2000.0,N/A,                ,FTMS + c NSI d Full ms2 655.0771@hcd30.00 [120.0000-2000.0000],Predicted   ,1,110.343,0.229,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,136.07562255859375,No,50000,-1.000,1,                                ,45556.27734375,28095,654.5806,4,30.00                    ,30.98                    ,1.60,0,0.000000,0.000000,211804471.455810,-94283661.533592,0.000000,0.000000,-1.40,0.00,-0.04,-0.11,0,0.00,78958.7,-0.020,0.000,No,0.000
6,MS2_MS1_orbitrap,27880176.0,4208,0,0.0,30.0,100.01366789921667,120.0-2000.0,23472098.0,                ,FTMS + c NSI d Full ms2 954.4949@hcd30.00 [120.0000-2000.0000],Predicted   ,1,2.274,0.362,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,860.3394165039062,No,50000,-1.000,1,                                ,1709519.375,1,954.2440,4,30.00                    ,43.77                    ,1.60,0,0.000000,0.000000,211804471.455810,-94283661.533592,0.000000,0.000000,-1.40,0.00,-0.04,-0.11,0,0.00,78518.8,-0.020,0.000,No,0.000
8,MS2_MS1_orbitrap,2627685.5,17368,0,0.0,30.0,100.02010959095,120.0-1827.0,1331241.625,                ,FTMS + c NSI d Full ms2 605.6661@hcd30.00 [120.0000-1827.0000],Predicted   ,1,379.612,0.501,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,136.07589721679688,No,50000,-1.000,1,                                ,334746.34375,5,605.6661,3,30.00                    ,30.41                    ,1.60,0,0.000000,0.000000,211804471.455810,-94283661.533592,0.000000,0.000000,-1.40,0.00,-0.04,-0.11,0,0.00,1021376.6,0.053,0.000,No,0.000
10,MS2_MS1_orbitrap,522681.6875,2008,0,0.0,28.0,100.02887158935,120.0-2000.0,4631290.0,                ,FTMS + c NSI d Full ms2 929.8229@hcd28.00 [120.0000-2000.0000],Predicted   ,1,35.054,0.362,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,178.27943420410156,No,50000,-1.000,1,                                ,66091.90625,7,929.8229,3,28.00                    ,42.55                    ,1.60,0,0.000000,0.000000,211804471.455810,-94283661.533592,0.000000,0.000000,-1.40,0.00,-0.04,-0.11,0,0.00,32687.0,0.000,0.000,No,0.000
12,MS2_MS1_orbitrap,7640772.0,10508,0,0.0,30.0,100.03531510428334,120.0-2000.0,1161362.875,                ,FTMS + c NSI d Full ms2 664.8339@hcd30.00 [120.0000-2000.0000],Predicted   ,1,45.674,0.362,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,638.7951049804688,No,50000,-1.000,1,                                ,191734.578125,9,664.8339,4,30.00                    ,31.40                    ,1.60,0,0.000000,0.000000,211804471.455810,-94283661.533592,0.000000,0.000000,-1.40,0.00,-0.04,-0.11,0,0.00,367428.8,0.021,0.000,No,0.000
13,MS2_MS1_orbitrap,353301.75,5028,0,0.0,30.0,100.03978560135,120.0-2000.0,736323.25,                ,FTMS + c NSI d Full ms2 658.0844@hcd30.00 [120.0000-2000.0000],Predicted   ,1,254.224,0.372,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,285.1195068359375,No,50000,-1.000,1,                                ,26844.7734375,9,658.0844,4,30.00                    ,31.11                    ,1.60,0,0.000000,0.000000,211804471.455810,-94283661.533592,0.000000,0.000000,-1.40,0.00,-0.04,-0.11,0,0.00,105213.5,0.000,0.000,No,0.000
16,MS2_MS1_orbitrap,236036.890625,4268,0,0.0,30.0,100.05255980375,120.0-2000.0,613774.625,                ,FTMS + c NSI d Full ms2 867.4376@hcd30.00 [120.0000-2000.0000],Predicted   ,1,248.776,0.371,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,960.5648193359375,No,50000,-1.000,1,                                ,8623.1904296875,14,867.4376,3,30.00                    ,42.33                    ,1.60,0,0.000000,0.000000,211804471.455810,-94283661.533592,0.000000,0.000000,-1.40,0.00,-0.04,-0.11,0,0.00,70709.9,0.000,0.000,No,0.000
17,MS2_MS1_orbitrap,6135372.0,12808,0,0.0,30.0,100.05718764668333,120.0-1664.0,668195.375,                ,FTMS + c NSI d Full ms2 551.3119@hcd30.00 [120.0000-1664.0000],Predicted   ,1,105.448,0.224,HigherEnergyCollisionalDissociation,MassAnalyzerFTMS,Any,413.21478271484375,No,50000,-1.000,1,                                ,251303.609375,14,551.3119,3,30.00                    ,27.94                    ,1.60,0,0.000000,0.000000,211804471.455810,-94283661.533592,0.000000,0.000000,-1.40,0.00,-0.04,-0.11,0,0.00,668465.9,0.053,0.000,No,0.000
