Scan Number,RAW File,Scan Description,AGC,Micro Scan Count,Ion Injection Time (ms),Elapsed Scan Time (sec),Average Scan by Inst,Orbitrap Resolution,API Process Delay,Dependency Type,Multi Inject Info,Master Scan Number,Monoisotopic M/Z,Charge State,HCD Energy,HCD Energy eV,MS2 Isolation Width,SPS Masses,SPS Masses Continued,Access ID,Conversion Parameter I,Conversion Parameter A,Conversion Parameter B,Conversion Parameter C,Conversion Parameter D,Conversion Parameter E,Temperature Comp. (ppm),RF Comp. (ppm),Space Charge Comp. (ppm),Resolution Comp. (ppm),Number of LM Found,LM Correction (ppm),RawOvFtT,Injection t0,Reagent Ion Injection Time (ms),FAIMS Voltage On,FAIMS CV
1,MS2_MS1_orbitrap,,On,1,0.01,0.275,No,120000,-1.0,0,,-1,-1.0,0,,,-1.0,,,0,0.0,0.0,211804426.123713,-94283621.175902,0.0,0.0,-1.4,0.0,-0.01,-0.24,0,0.0,83740.1,-0.014,0.0,No,0.0
5,MS2_MS1_orbitrap,,On,1,0.106,0.275,No,120000,-1.0,0,,-1,-1.0,0,,,-1.0,,,0,0.0,0.0,211804410.211949,-94283607.00374,0.0,0.0,-1.4,0.0,-0.05,-0.24,0,0.0,755270.9,-0.036,0.0,No,0.0
7,MS2_MS1_orbitrap,,On,1,0.036,0.275,No,120000,-1.0,0,,-1,-1.0,0,,,-1.0,,,0,0.0,0.0,211804418.037033,-94283613.979573,0.0,0.0,-1.4,0.0,-0.03,-0.24,0,0.0,330590.6,0.001,0.0,No,0.0
9,MS2_MS1_orbitrap,,On,1,0.289,0.275,No,120000,-1.0,0,,-1,-1.0,0,,,-1.0,,,0,0.0,0.0,211804387.095108,-94283586.43001,0.0,0.0,-1.4,0.0,-0.1,-0.24,0,0.0,698709.6,-0.023,0.0,No,0.0
11,MS2_MS1_orbitrap,,On,1,0.093,0.275,No,120000,-1.0,0,,-1,-1.0,0,,,-1.0,,,0,0.0,0.0,211804411.194848,-94283607.88521,0.0,0.0,-1.4,0.0,-0.04,-0.24,0,0.0,316958.5,-0.018,0.0,No,0.0
14,MS2_MS1_orbitrap,,On,1,0.311,0.275,No,120000,-1.0,0,,-1,-1.0,0,,,-1.0,,,0,0.0,0.0,211804386.40592,-94283585.818014,0.0,0.0,-1.4,0.0,-0.1,-0.24,0,0.0,897339.4,-0.04,0.0,No,0.0
15,MS2_MS1_orbitrap,,On,1,0.03,0.275,No,120000,-1.0,0,,-1,-1.0,0,,,-1.0,,,0,0.0,0.0,211804417.917775,-94283613.867526,0.0,0.0,-1.4,0.0,-0.03,-0.24,0,0.0,357383.3,-0.029,0.0,No,0.0
18,MS2_MS1_orbitrap,,On,1,0.109,0.275,No,120000,-1.0,0,,-1,-1.0,0,,,-1.0,,,0,0.0,0.0,211804403.741858,-94283601.251894,0.0,0.0,-1.4,0.0,-0.06,-0.24,0,0.0,424032.5,-0.038,0.0,No,0.0
21,MS2_MS1_orbitrap,,On,1,0.104,0.275,No,120000,-1.0,0,,-1,-1.0,0,,,-1.0,,,0,0.0,0.0,211804406.73701,-94283603.927387,0.0,0.0,-1.4,0.0,-0.06,-0.24,0,0.0,650224.3,-0.043,0.0,No,0.0
23,MS2_MS1_orbitrap,,On,1,0.027,0.275,No,120000,-1.0,0,,-1,-1.0,0,,,-1.0,,,0,0.0,0.0,211804417.202622,-94283613.233568,0.0,0.0,-1.4,0.0,-0.03,-0.24,0,0.0,174068.7,-0.059,0.0,No,0.0
25,MS2_MS1_orbitrap,,On,1,0.009,0.275,No,120000,-1.0,0,,-1,-1.0,0,,,-1.0,,,0,0.0,0.0,211804422.334142,-94283617.806888,0.0,0.0,-1.4,0.0,-0.02,-0.24,0,0.0,181084.3,-0.054,0.0,No,0.0
26,MS2_MS1_orbitrap,,On,1,0.011,0.275,No,120000,-1.0,0,,-1,-1.0,0,,,-1.0,,,0,0.0,0.0,211804420.906309,-94283616.540073,0.0,0.0,-1.4,0.0,-0.02,-0.24,0,0.0,153609.1,-0.082,0.0,No,0.0
27,MS2_MS1_orbitrap,,On,1,0.019,0.275,No,120000,-1.0,0,,-1,-1.0,0,,,-1.0,,,0,0.0,0.0,211804419.057501,-94283614.888172,0.0,0.0,-1.4,0.0,-0.03,-0.24,0,0.0,355889.9,-0.037,0.0,No,0.0
28,MS2_MS1_orbitrap,,On,1,0.134,0.275,No,120000,-1.0,0,,-1,-1.0,0,,,-1.0,,,0,0.0,0.0,211804396.398483,-94283594.71246,0.0,0.0,-1.4,0.0,-0.08,-0.24,0,0.0,694772.3,-0.027,0.0,No,0.0
30,MS2_MS1_orbitrap,,On,1,0.012,0.275,No,120000,-1.0,0,,-1,-1.0,0,,,-1.0,,,0,0.0,0.0,211804421.522329,-94283617.081347,0.0,0.0,-1.4,0.0,-0.02,-0.24,0,0.0,95034.8,0.001,0.0,No,0.0
31,MS2_MS1_orbitrap,,On,1,0.011,0.275,No,120000,-1.0,0,,-1,-1.0,0,,,-1.0,,,0,0.0,0.0,211804420.765881,-94283616.404729,0.0,0.0,-1.4,0.0,-0.02,-0.24,0,0.0,212675.0,0.027,0.0,No,0.0
32,MS2_MS1_orbitrap,,On,1,0.035,0.275,No,120000,-1.0,0,,-1,-1.0,0,,,-1.0,,,0,0.0,0.0,211804413.964068,-94283610.352614,0.0,0.0,-1.4,0.0,-0.04,-0.24,0,0.0,184376.0,-0.01,0.0,No,0.0
34,MS2_MS1_orbitrap,,On,1,0.01,0.275,No,120000,-1.0,0,,-1,-1.0,0,,,-1.0,,,0,0.0,0.0,211804421.272285,-94283616.862525,0.0,0.0,-1.4,0.0,-0.02,-0.24,0,0.0,89882.3,0.023,0.0,No,0.0
35,MS2_MS1_orbitrap,,On,1,0.012,0.275,No,120000,-1.0,0,,-1,-1.0,0,,,-1.0,,,0,0.0,0.0,211804420.53554,-94283616.205082,0.0,0.0,-1.4,0.0,-0.02,-0.24,0,0.0,263799.0,-0.01,0.0,No,0.0
36,MS2_MS1_orbitrap,,On,1,0.046,0.275,No,120000,-1.0,0,,-1,-1.0,0,,,-1.0,,,0,0.0,0.0,211804410.858786,-94283607.589947,0.0,0.0,-1.4,0.0,-0.05,-0.24,0,0.0,597293.1,-0.02,0.0,No,0.0
37,MS2_MS1_orbitrap,,On,1,0.005,0.275,No,120000,-1.0,0,,-1,-1.0,0,,,-1.0,,,0,0.0,0.0,211804423.903987,-94283619.206285,0.0,0.0,-1.4,0.0,-0.01,-0.24,0,0.0,113656.5,-0.04,0.0,No,0.0
41,MS2_MS1_orbitrap,,On,1,0.015,0.275,No,120000,-1.0,0,,-1,-1.0,0,,,-1.0,,,0,0.0,0.0,211804420.25851,-94283615.956906,0.0,0.0,-1.4,0.0,-0.02,-0.24,0,0.0,304836.8,-0.023,0.0,No,0.0
42,MS2_MS1_orbitrap,,On,1,0.035,0.275,No,120000,-1.0,0,,-1,-1.0,0,,,-1.0,,,0,0.0,0.0,211804413.669235,-94283610.089577,0.0,0.0,-1.4,0.0,-0.04,-0.24,0,0.0,659223.9,-0.035,0.0,No,0.0
44,MS2_MS1_orbitrap,,On,1,0.028,0.275,No,120000,-1.0,0,,-1,-1.0,0,,,-1.0,,,0,0.0,0.0,211804413.543664,-94283609.971251,0.0,0.0,-1.4,0.0,-0.04,-0.24,0,0.0,279210.3,-0.027,0.0,No,0.0
45,MS2_MS1_orbitrap,,On,1,0.034,0.275,No,120000,-1.0,0,,-1,-1.0,0,,,-1.0,,,0,0.0,0.0,211804413.941217,-94283610.342442,0.0,0.0,-1.4,0.0,-0.04,-0.24,0,0.0,444583.8,-0.057,0.0,No,0.0
46,MS2_MS1_orbitrap,,On,1,0.015,0.275,No,120000,-1.0,0,,-1,-1.0,0,,,-1.0,,,0,0.0,0.0,211804419.381688,-94283615.181617,0.0,0.0,-1.4,0.0,-0.03,-0.24,0,0.0,182112.6,-0.019,0.0,No,0.0
47,MS2_MS1_orbitrap,,On,1,0.009,0.275,No,120000,-1.0,0,,-1,-1.0,0,,,-1.0,,,0,0.0,0.0,211804421.601488,-94283617.154735,0.0,0.0,-1.4,0.0,-0.02,-0.24,0,0.0,197217.3,0.023,0.0,No,0.0
