Scan Number,RAW File,Ion Injection Time (ms),Total Number of Peaks,Total Ion Current,Retention Time (s),Base Peak Intensity,Base Peak Mass,Multi Inject Info,Multiple Injection
1,small,68.227,88820,15245068.0,0.004935,1471973.875,810.415283203125,N/A,N/A
2,small,2.077,79272,12901166.0,0.007896666666666666,183838.71875,810.5455322265625,N/A,N/A
8,small,61.132,68184,15148302.0,0.075015,1659854.25,810.4147338867188,N/A,N/A
9,small,5.803,79272,10349958.0,0.07778833333333333,143063.15625,811.181884765625,N/A,N/A
15,small,72.053,77320,18257344.0,0.14345166666666667,2028008.125,810.4156494140625,N/A,N/A
16,small,2.521,79272,11037852.0,0.14640833333333333,134546.09375,811.0909423828125,N/A,N/A
22,small,78.410,78140,17613074.0,0.2136733333333333,2041982.0,810.4159545898438,N/A,N/A
23,small,2.653,79272,1597410.5,0.21674666666666667,20583.181640625,811.0,N/A,N/A
29,small,99.592,92304,22136832.0,0.28548333333333337,2729596.5,810.4175415039062,N/A,N/A
30,small,1.734,79272,12434530.0,0.2888983333333333,189316.15625,810.6363525390625,N/A,N/A
35,small,66.962,75096,16495375.0,0.35855833333333337,1740913.0,810.4151000976562,N/A,N/A
36,small,1.416,79272,6548706.5,0.36142833333333335,105772.0703125,810.5455322265625,N/A,N/A
42,small,178.921,146652,12015003.0,0.4284833333333333,1360808.875,810.41845703125,N/A,N/A
43,small,2.420,79272,13332331.0,0.4332216666666666,174472.9375,810.6363525390625,N/A,N/A
