Scan Number,RAW File,Total Ion Current,Total Number of Peaks,Number of Channels,Frequency,Collision Energy,Retention Time (s),Mass Ranges,Precursor Intensity,Scan Description,AGC,Micro Scan Count,Ion Injection Time (ms),Elapsed Scan Time (sec),Activation Type,Mass Analyzer Type,Detector Type,Base Peak Mass,Average Scan by Inst,Orbitrap Resolution,API Process Delay,Dependency Type,Multi Inject Info,Base Peak Intensity,Master Scan Number,Monoisotopic M/Z,Charge State,HCD Energy,HCD Energy eV,MS2 Isolation Width,Access ID,Conversion Parameter I,Conversion Parameter A,Conversion Parameter B,Conversion Parameter C,Conversion Parameter D,Conversion Parameter E,Temperature Comp. (ppm),RF Comp. (ppm),Space Charge Comp. (ppm),Resolution Comp. (ppm),Number of LM Found,LM Correction (ppm),RawOvFtT,Injection t0,Reagent Ion Injection Time (ms),FAIMS Voltage On,FAIMS CV
3,small,586279.0,3924,0,0.0,35.0,0.011218333333333334,210.0-1635.0,nan,ITMS + c ESI d Full ms2 810.79@cid35.00 [210.00-1635.00],On,3,7.993,0.68,CollisionInducedDissociation,MassAnalyzerITMS,Any,736.6370849609375,No,N/A,N/A,N/A,N/A,161140.859375,N/A,0.0000,0,N/A,N/A,2.0,N/A,0.000,107533.039,-347.451,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,small,441570.15625,8092,0,0.0,35.0,0.022838333333333332,220.0-1685.0,nan,ITMS + c ESI d Full ms2 837.34@cid35.00 [220.00-1685.00],On,3,15.550,0.71,CollisionInducedDissociation,MassAnalyzerITMS,Any,780.535888671875,No,N/A,N/A,N/A,N/A,29161.8984375,N/A,0.0000,0,N/A,N/A,2.0,N/A,0.000,107533.039,-347.451,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5,small,114331.703125,6740,0,0.0,35.0,0.034925,185.0-1465.0,nan,ITMS + c ESI d Full ms2 725.36@cid35.00 [185.00-1465.00],On,3,57.431,0.81,CollisionInducedDissociation,MassAnalyzerITMS,Any,578.985595703125,No,N/A,N/A,N/A,N/A,8601.798828125,N/A,0.0000,0,N/A,N/A,2.0,N/A,0.000,107533.039,-347.451,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6,small,130427.3046875,5244,0,0.0,35.0,0.04862,140.0-1130.0,nan,ITMS + c ESI d Full ms2 558.87@cid35.00 [140.00-1130.00],On,3,66.479,0.79,CollisionInducedDissociation,MassAnalyzerITMS,Any,579.1727905273438,No,N/A,N/A,N/A,N/A,16020.6806640625,N/A,0.0000,0,N/A,N/A,2.0,N/A,0.000,107533.039,-347.451,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7,small,580561.0625,6140,0,0.0,35.0,0.06192333333333334,210.0-1635.0,nan,ITMS + c ESI d Full ms2 812.33@cid35.00 [210.00-1635.00],On,3,38.118,0.77,CollisionInducedDissociation,MassAnalyzerITMS,Any,736.996337890625,No,N/A,N/A,N/A,N/A,121374.0390625,N/A,0.0000,0,N/A,N/A,2.0,N/A,0.000,107533.039,-347.451,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10,small,848427.3125,4460,0,0.0,35.0,0.08120333333333334,210.0-1635.0,nan,ITMS + c ESI d Full ms2 810.75@cid35.00 [210.00-1635.00],On,3,9.612,0.69,CollisionInducedDissociation,MassAnalyzerITMS,Any,736.620361328125,No,N/A,N/A,N/A,N/A,241979.125,N/A,0.0000,0,N/A,N/A,2.0,N/A,0.000,107533.039,-347.451,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11,small,456143.4375,7572,0,0.0,35.0,0.09290333333333332,220.0-1690.0,nan,ITMS + c ESI d Full ms2 837.96@cid35.00 [220.00-1690.00],On,3,11.561,0.70,CollisionInducedDissociation,MassAnalyzerITMS,Any,780.757568359375,No,N/A,N/A,N/A,N/A,49891.08203125,N/A,0.0000,0,N/A,N/A,2.0,N/A,0.000,107533.039,-347.451,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12,small,124170.3828125,5124,0,0.0,35.0,0.10480333333333333,165.0-1300.0,nan,ITMS + c ESI d Full ms2 644.06@cid35.00 [165.00-1300.00],On,3,40.509,0.73,CollisionInducedDissociation,MassAnalyzerITMS,Any,634.7259521484375,No,N/A,N/A,N/A,N/A,23714.06640625,N/A,0.0000,0,N/A,N/A,2.0,N/A,0.000,107533.039,-347.451,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
13,small,104264.796875,6380,0,0.0,35.0,0.11721500000000001,185.0-1465.0,nan,ITMS + c ESI d Full ms2 725.23@cid35.00 [185.00-1465.00],On,3,39.693,0.75,CollisionInducedDissociation,MassAnalyzerITMS,Any,578.97607421875,No,N/A,N/A,N/A,N/A,7778.6669921875,N/A,0.0000,0,N/A,N/A,2.0,N/A,0.000,107533.039,-347.451,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
14,small,147409.234375,5396,0,0.0,35.0,0.13002166666666667,140.0-1130.0,nan,ITMS + c ESI d Full ms2 559.19@cid35.00 [140.00-1130.00],On,3,69.128,0.79,CollisionInducedDissociation,MassAnalyzerITMS,Any,579.20068359375,No,N/A,N/A,N/A,N/A,17880.552734375,N/A,0.0000,0,N/A,N/A,2.0,N/A,0.000,107533.039,-347.451,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
