year	raw	baf	cdf	d	ibf	mgf	msf	mzid	mzidentml	mzml	mzxml	tdf	tdf_bin	wiff	wiff2	zip
2005	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0
2006	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0
2007	0	0	0	0	0	957	0	0	0	0	0	0	0	0	0	0
2008	0	0	0	0	0	799	0	0	0	0	0	0	0	0	0	0
2009	0	0	0	0	0	4909	0	0	0	0	0	0	0	0	0	0
2010	137	0	0	0	0	1705	0	18	0	0	0	0	0	0	0	18
2011	0	0	0	0	0	2689	0	0	0	0	0	0	0	0	0	0
2012	1085	0	0	0	0	4224	233	52	0	1	13	0	0	0	0	92
2013	22347	19	0	226	0	10159	1071	5060	0	24	768	0	0	817	0	290
2014	32097	6	0	1412	0	10476	1559	1833	0	1869	2641	0	0	2378	0	2143
2015	52430	164	0	254	0	15714	2214	5672	0	4154	4293	0	0	3165	0	2166
2016	61452	254	0	342	0	17436	4822	5847	12	2845	2846	0	0	2979	0	1731
2017	87326	239	0	309	0	16111	5387	9018	9	3789	6193	0	0	3218	0	1589
2018	119051	605	0	731	0	33381	5032	13433	0	2379	3095	0	0	5807	9	2493
2019	130183	634	0	1299	0	31813	6495	16922	719	2711	7661	1	1	9359	79	4523
2020	140139	866	54	1202	0	24994	8685	11677	1063	3611	3791	0	6	11767	0	3539
2021	177975	1170	0	3426	0	22783	7425	12573	1283	7273	3736	35	120	7918	15	5381
2022	176577	1026	0	5078	0	20247	9490	13734	1590	7008	2876	1	40	12481	236	9573
2023	178573	257	0	9836	0	18230	7337	12523	2281	5612	5498	18	19	10989	9	10449
2024	178861	95	0	17480	0	11100	6109	7068	1010	4784	3622	109	85	8711	334	21283
2025	222020	48	0	28629	0	15979	5443	11570	1904	15322	4184	318	133	19826	1754	32531
